FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
113,PS84W8,Coventry to Canterbury Neighbourhood Connector, ,Ward 8, ,143.2856519,188.436249977,2.1862324e-08,0.001825034356616
114,PS42W10,Riverfront South Green, ,Ward 10, ,1291.85085784,13455.6925001,1.562011345e-06,0.015299441886781
115,PN3W6,Barkers Point Cenotaph Area,City of Fredericton,Ward 6,Undeveloped,877.007950861,19643.6424998,2.279886696e-06,0.008978758280222
116,PS42W10,Riverfront South Green, ,Ward 10, ,1950.78107457,37104.959779,4.307432617e-06,0.024187318714711
117,PN5W5,Boss Gibson Monument Area,City of Fredericton,Ward 5, ,1542.77485803,16677.7112504,1.936666479e-06,0.014535981890244
118,PS42W10,Riverfront South Green, ,Ward 10, ,402.543675857,2708.26024755,3.14390547e-07,0.0049874282026
119,PS5W8,Canterbury Drive Park,City of Fredericton,Ward 8, ,924.395574749,30502.7399999,3.538730156e-06,0.009955611756752
120,PS42W10,Riverfront South Green, ,Ward 10, ,433.546806836,3528.48950508,4.09605451e-07,0.004791830410333
121,PN6W1,Burpee Street Park,City of Fredericton,Ward 1, ,1005.65227796,41588.6887499,4.828811976e-06,0.010950632712077
122,PS42W11,Riverfront South Green, ,Ward 11, ,1934.35543707,28686.2269067,3.329933334e-06,0.021017857786424
123,PN7W5,Campbell Creek Open Space - Mill Pond,City of Fredericton,Ward 5, ,2470.12556479,65273.82375,7.580043005e-06,0.027675644240399
124,PS42W10,Riverfront South Green, ,Ward 10, ,431.631006606,6728.53654288,7.8108321e-07,0.004846426269923
125,PN7W5,Campbell Creek Open Space - Mill Pond,City of Fredericton,Ward 5, ,148.71310602,1143.38749993,1.32786429e-07,0.001699204800578
126,PN8W4,Carleton Park,City of Fredericton,Ward 4, ,749.273070074,28148.1900002,3.2673056e-06,0.007758929819733
127,PS42W10,Riverfront South Green, ,Ward 10, ,489.660122627,8458.3924499,9.81874726e-07,0.005552284138965
128,PS42W11,Riverfront South Green, ,Ward 11, ,867.311746997,14367.4448297,1.667733441e-06,0.010032982040813
129,PN8W4,Carleton Park,City of Fredericton,Ward 4, ,537.749236064,16291.0237502,1.891055337e-06,0.005818600008502
130,PN60W3,Riverfront North green, ,Ward 3, ,1365.54968518,21748.7602624,2.525059531e-06,0.014530168793232
131,PS7W7,Case Street Park,City of Fredericton,Ward 7, ,372.092928005,4817.4475,5.58765206e-07,0.004130179536263
132,PN61W3,Riverside Park, ,Ward 3, ,362.553315943,4627.78757236,5.37294164e-07,0.00396268854209
133,PS8W11,Queen Street Cenotaph,City of Fredericton,Ward 11, ,86.7241787938,254.777500006,2.9572224e-08,0.000913500998615
134,PN9W6,Charles Avenue Park,City of Fredericton,Ward 6, ,158.464223007,1478.21,1.71568127e-07,0.001662095060741
135,PN61W1,Robinson Park Drive, ,Ward 1, ,263.684313546,1448.56374992,1.68203581e-07,0.002826321876665
136,PN10W2,Cherry Avenue Park,City of Fredericton,Ward 2, ,246.246881992,1836.02625004,2.13199922e-07,0.002578857029996
137,PS43W12,Rosewood Estates Park, ,Ward 12, ,428.616659183,5305.46124987,6.1587737e-07,0.004491445933159
138,PN11W2,City Avenue Open Space,City of Fredericton,Ward 2, ,2007.84342248,150487.36125,1.7472419823e-05,0.021767792302192
139,PN62W2,Royal Road Park, ,Ward 2, ,917.498238013,39270.3387501,4.560384737e-06,0.010527056932518
